epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10693,2.16887,5.10124,1.50895,0,0,0,0,1.77256,5.11363,1.26134,5.001e-05,5.001e-05,5.001e-05
2,14.5199,1.75424,4.43031,1.42219,0,0,0,0,1.6864,4.82898,1.20469,0.000105138,0.000105138,0.000105138
3,20.1203,1.43751,4.27469,1.19615,0,0,0,0,1.67988,4.69714,1.20284,0.000147063,0.000147063,0.000147063
4,24.5726,1.2589,3.98167,1.14845,0.00133,0.28846,0.00042,0.00023,1.60249,4.56143,1.14006,0.000175785,0.000175785,0.000175785
5,29.1239,1.15715,3.59332,1.1065,0.00199,0.32692,0.00061,0.00035,1.61583,4.50404,1.10214,0.000191305,0.000191305,0.000191305
6,33.4462,1.10921,3.45307,1.09772,0.00379,0.23077,0.00179,0.00042,1.80085,4.43199,1.11926,0.000193622,0.000193622,0.000193622
7,38.2292,1.0212,3.12662,1.11164,0.00379,0.23077,0.00179,0.00042,1.80085,4.43199,1.11926,0.000182737,0.000182737,0.000182737
8,43.4242,1.12021,3.07832,1.04472,0.00435,0.26923,0.00241,0.00071,1.91379,4.36438,1.14066,0.000158648,0.000158648,0.000158648
9,48.8698,1.25067,3.05451,1.11635,0.0044,0.26923,0.00244,0.00062,1.9508,4.28491,1.14095,0.000121358,0.000121358,0.000121358
10,54.2492,1.10855,2.84766,1.00609,0.0044,0.26923,0.00244,0.00062,1.9508,4.28491,1.14095,7.08642e-05,7.08642e-05,7.08642e-05
