epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5785,1.79117,4.11604,1.4446,0.00176,0.39286,0.02022,0.0039,1.28169,4.29306,1.34128,3.334e-05,3.334e-05,3.334e-05
2,34.1044,1.52474,3.90088,1.32564,0.00232,0.46429,0.02845,0.01309,1.00078,3.96058,1.15314,8.16997e-05,8.16997e-05,8.16997e-05
3,45.7499,1.19222,3.65441,1.15057,0.00285,0.53571,0.11926,0.07334,0.91754,3.82001,1.04393,0.000128079,0.000128079,0.000128079
4,56.6932,1.21753,3.39137,1.11572,0.00332,0.60714,0.16231,0.13718,0.83355,3.74831,0.97373,0.000172478,0.000172478,0.000172478
5,67.8963,1.21922,3.10948,1.04624,0.00326,0.60714,0.23325,0.19088,0.86686,3.76388,0.97845,0.000214896,0.000214896,0.000214896
6,78.8864,1.15557,2.77602,1.02583,0.00486,1,0.37848,0.26414,0.90708,3.59203,0.97549,0.000255334,0.000255334,0.000255334
7,90.0547,1.19769,2.43136,1.12556,0.00421,0.75,0.36735,0.26349,0.88238,3.49205,0.98043,0.000293792,0.000293792,0.000293792
8,101.09,1.24138,2.00397,1.09155,0.00411,0.75,0.41493,0.27941,0.95173,3.39029,0.98452,0.000330269,0.000330269,0.000330269
9,112.286,1.14895,1.81905,1.02058,0.00472,1,0.44292,0.31833,0.96946,3.28847,0.97951,0.000364766,0.000364766,0.000364766
10,123.238,1.21276,1.81868,1.05869,0.00477,1,0.45731,0.33144,0.9943,3.24363,0.97165,0.000397283,0.000397283,0.000397283
11,135.096,1.12068,1.9833,1.01243,0.00483,1,0.49925,0.32333,1.09622,3.23567,1.00551,0.000427819,0.000427819,0.000427819
12,146.015,1.15737,1.74713,1.02226,0.00488,1,0.50973,0.33323,1.12973,3.28174,1.03063,0.000456375,0.000456375,0.000456375
